@relation ant-1.9.2-weka.filters.unsupervised.attribute.Remove-R10-61-weka.filters.unsupervised.attribute.Remove-R1

@attribute AvgCyclomatic numeric
@attribute AvgCyclomaticModified numeric
@attribute AvgCyclomaticStrict numeric
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute label {0,1}

@data
1,1,1,1,10,0,4,6,0
1,1,1,1,9,0,3,5,0
1,1,1,1,11,0,6,4,0
1,1,1,1,9,0,5,4,0
2,2,2,1,13,0,8,3,0
1,1,1,1,7,0,3,4,0
7,7,9,7,19,0,16,3,0
1,1,1,1,8,0,5,2,0
0,0,0,0,0,0,0,0,0
2,2,2,1,16,1,11,3,0
1,1,1,1,7,0,3,4,0
2,2,2,1,15,1,10,3,0
2,2,2,2,18,0,12,6,0
2,2,2,1,14,0,10,3,0
1,1,1,1,11,0,6,3,0
1,1,1,1,4,0,3,1,0
2,2,2,1,24,3,10,10,0
1,1,1,1,20,1,9,9,0
2,2,2,1,11,0,8,3,0
2,2,3,1,13,0,9,4,0
2,2,3,1,11,0,8,2,0
1,1,1,1,8,0,6,2,0
0,0,0,0,0,0,0,0,0
2,2,2,1,11,0,6,4,0
2,2,2,1,14,0,9,5,0
1,1,1,1,9,0,5,4,0
1,1,1,1,8,0,4,4,0
2,2,2,1,13,0,9,4,0
1,1,1,1,4,0,4,0,0
1,1,1,1,6,0,2,3,0
2,2,2,1,14,0,9,4,0
6,6,6,1,25,0,21,4,0
2,2,2,1,10,0,7,2,0
0,0,0,0,0,0,0,0,0
2,2,2,1,11,0,7,4,0
1,1,1,1,9,0,4,5,0
2,2,2,1,12,0,7,4,0
2,2,3,1,13,0,9,4,0
1,1,1,1,7,0,2,4,0
1,1,1,1,6,0,3,3,0
3,3,3,1,13,0,11,2,0
8,8,8,5,37,0,30,7,0
3,3,3,3,20,0,14,5,0
5,5,7,3,35,3,25,7,0
2,2,2,1,9,0,7,2,0
1,1,1,1,7,0,3,3,0
2,2,2,1,9,0,6,3,0
2,2,2,1,13,0,9,3,0
1,1,2,1,8,0,6,2,0
2,2,2,1,10,0,6,4,0
1,1,1,1,9,0,4,4,0
2,2,2,1,16,0,10,5,0
1,1,1,1,7,0,5,1,0
2,2,2,1,10,0,6,3,0
1,1,1,1,8,0,4,4,0
2,2,2,1,16,0,9,5,0
1,1,1,1,9,0,4,4,0
2,2,2,1,12,0,8,4,0
3,3,3,1,21,0,15,5,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,2,2,1,13,0,8,4,0
1,1,1,1,9,0,5,4,0
1,1,1,1,11,0,7,3,0
1,1,1,1,11,0,4,6,0
3,3,3,3,17,0,10,7,0
4,4,4,1,16,0,11,4,0
3,3,3,1,14,0,7,7,0
5,5,5,1,26,0,18,8,0
1,1,1,1,10,0,3,7,0
2,2,2,1,12,0,7,5,0
2,2,2,1,9,0,6,3,0
3,3,3,1,11,0,4,7,0
3,3,3,1,14,0,7,7,0
1,1,1,1,8,0,4,4,0
2,2,2,1,13,0,9,3,0
1,1,1,1,9,0,5,4,0
1,1,1,1,8,0,3,5,0
1,1,1,1,10,0,6,4,0
2,2,3,2,11,0,7,4,0
1,1,1,1,8,0,4,3,0
1,1,1,1,8,0,4,4,0
1,1,1,1,8,0,3,4,0
1,1,1,1,8,0,4,4,0
0,0,0,0,0,0,0,0,0
2,2,2,1,11,0,7,4,0
1,1,1,1,7,0,3,4,0
1,1,1,1,7,0,3,3,0
1,1,1,1,9,0,5,4,1
2,2,2,1,12,0,7,5,0
1,1,1,1,7,0,2,5,0
2,2,2,1,10,0,5,5,0
1,1,1,1,8,0,4,4,0
2,2,2,1,15,0,9,5,0
2,2,2,1,15,0,9,5,0
2,2,2,1,13,0,8,5,0
2,2,2,1,13,0,8,4,0
3,3,3,1,18,0,12,6,0
3,3,3,3,18,1,10,6,0
0,0,0,0,0,0,0,0,0
2,2,3,1,14,0,9,5,0
0,0,0,0,0,0,0,0,0
2,2,2,1,14,0,8,6,0
2,2,2,1,15,0,8,6,0
2,2,2,1,14,0,7,6,0
2,2,2,1,12,0,7,5,0
1,1,1,1,9,0,5,3,0
2,2,2,1,13,0,7,5,0
2,2,2,1,15,0,8,6,0
1,1,2,1,5,0,5,0,0
